"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"26","Michigan","26001","Alcona","2010","12%","",
"26","Michigan","26001","Alcona","2015","41%","",
"26","Michigan","26003","Alger","2010","25%","",
"26","Michigan","26003","Alger","2015","80%","",
"26","Michigan","26005","Allegan","2010","11%","",
"26","Michigan","26005","Allegan","2015","16%","",
"26","Michigan","26007","Alpena","2010","25%","",
"26","Michigan","26007","Alpena","2015","55%","",
"26","Michigan","26009","Antrim","2010","17%","",
"26","Michigan","26009","Antrim","2015","25%","",
"26","Michigan","26011","Arenac","2010","2%","",
"26","Michigan","26011","Arenac","2015","30%","",
"26","Michigan","26013","Baraga","2010","11%","",
"26","Michigan","26013","Baraga","2015","46%","",
"26","Michigan","26015","Barry","2010","9%","",
"26","Michigan","26015","Barry","2015","19%","",
"26","Michigan","26017","Bay","2010","24%","",
"26","Michigan","26017","Bay","2015","24%","",
"26","Michigan","26019","Benzie","2010","15%","",
"26","Michigan","26019","Benzie","2015","67%","",
"26","Michigan","26021","Berrien","2010","26%","",
"26","Michigan","26021","Berrien","2015","24%","",
"26","Michigan","26023","Branch","2010","21%","",
"26","Michigan","26023","Branch","2015","11%","",
"26","Michigan","26025","Calhoun","2010","26%","",
"26","Michigan","26025","Calhoun","2015","20%","",
"26","Michigan","26027","Cass","2010","8%","",
"26","Michigan","26027","Cass","2015","4%","",
"26","Michigan","26029","Charlevoix","2010","26%","",
"26","Michigan","26029","Charlevoix","2015","39%","",
"26","Michigan","26031","Cheboygan","2010","9%","",
"26","Michigan","26031","Cheboygan","2015","57%","",
"26","Michigan","26033","Chippewa","2010","1%","",
"26","Michigan","26033","Chippewa","2015","41%","",
"26","Michigan","26035","Clare","2010","11%","",
"26","Michigan","26035","Clare","2015","25%","",
"26","Michigan","26037","Clinton","2010","26%","",
"26","Michigan","26037","Clinton","2015","24%","",
"26","Michigan","26039","Crawford","2010","3%","",
"26","Michigan","26039","Crawford","2015","70%","",
"26","Michigan","26041","Delta","2010","20%","",
"26","Michigan","26041","Delta","2015","48%","",
"26","Michigan","26043","Dickinson","2010","22%","",
"26","Michigan","26043","Dickinson","2015","33%","",
"26","Michigan","26045","Eaton","2010","23%","",
"26","Michigan","26045","Eaton","2015","17%","",
"26","Michigan","26047","Emmet","2010","27%","",
"26","Michigan","26047","Emmet","2015","49%","",
"26","Michigan","26049","Genesee","2010","30%","",
"26","Michigan","26049","Genesee","2015","30%","",
"26","Michigan","26051","Gladwin","2010","4%","",
"26","Michigan","26051","Gladwin","2015","25%","",
"26","Michigan","26053","Gogebic","2010","12%","",
"26","Michigan","26053","Gogebic","2015","47%","",
"26","Michigan","26055","Grand Traverse","2010","20%","",
"26","Michigan","26055","Grand Traverse","2015","40%","",
"26","Michigan","26057","Gratiot","2010","28%","",
"26","Michigan","26057","Gratiot","2015","12%","",
"26","Michigan","26059","Hillsdale","2010","11%","",
"26","Michigan","26059","Hillsdale","2015","9%","",
"26","Michigan","26061","Houghton","2010","0%","",
"26","Michigan","26061","Houghton","2015","16%","",
"26","Michigan","26063","Huron","2010","8%","",
"26","Michigan","26063","Huron","2015","8%","",
"26","Michigan","26065","Ingham","2010","59%","",
"26","Michigan","26065","Ingham","2015","57%","",
"26","Michigan","26067","Ionia","2010","17%","",
"26","Michigan","26067","Ionia","2015","24%","",
"26","Michigan","26069","Iosco","2010","18%","",
"26","Michigan","26069","Iosco","2015","53%","",
"26","Michigan","26071","Iron","2010","4%","",
"26","Michigan","26071","Iron","2015","55%","",
"26","Michigan","26073","Isabella","2010","14%","",
"26","Michigan","26073","Isabella","2015","11%","",
"26","Michigan","26075","Jackson","2010","20%","",
"26","Michigan","26075","Jackson","2015","18%","",
"26","Michigan","26077","Kalamazoo","2010","41%","",
"26","Michigan","26077","Kalamazoo","2015","45%","",
"26","Michigan","26079","Kalkaska","2010","4%","",
"26","Michigan","26079","Kalkaska","2015","68%","",
"26","Michigan","26081","Kent","2010","44%","",
"26","Michigan","26081","Kent","2015","46%","",
"26","Michigan","26083","Keweenaw","2010","9%","",
"26","Michigan","26083","Keweenaw","2015","18%","",
"26","Michigan","26085","Lake","2010","0%","",
"26","Michigan","26085","Lake","2015","80%","",
"26","Michigan","26087","Lapeer","2010","16%","",
"26","Michigan","26087","Lapeer","2015","17%","",
"26","Michigan","26089","Leelanau","2010","18%","",
"26","Michigan","26089","Leelanau","2015","27%","",
"26","Michigan","26091","Lenawee","2010","26%","",
"26","Michigan","26091","Lenawee","2015","15%","",
"26","Michigan","26093","Livingston","2010","14%","",
"26","Michigan","26093","Livingston","2015","19%","",
"26","Michigan","26095","Luce","2010","2%","",
"26","Michigan","26095","Luce","2015","83%","",
"26","Michigan","26097","Mackinac","2010","16%","",
